order,question_id,question_type,question_answer_file,session_count,turn_count,translator_status
1,118b2229,single-session-user,cases/118b2229/question_answer.md,45,485,TODO
2,1e043500,single-session-user,cases/1e043500/question_answer.md,50,510,TODO
3,6ade9755,single-session-user,cases/6ade9755/question_answer.md,51,513,TODO
4,6f9b354f,single-session-user,cases/6f9b354f/question_answer.md,50,500,TODO
5,f8c5f88b,single-session-user,cases/f8c5f88b/question_answer.md,46,487,TODO
6,5d3d2817,single-session-user,cases/5d3d2817/question_answer.md,53,510,TODO
7,caf9ead2,single-session-user,cases/caf9ead2/question_answer.md,43,466,TODO
8,577d4d32,single-session-user,cases/577d4d32/question_answer.md,46,487,TODO
9,bc8a6e93,single-session-user,cases/bc8a6e93/question_answer.md,48,537,TODO
10,ccb36322,single-session-user,cases/ccb36322/question_answer.md,46,471,TODO
11,8a137a7f,single-session-user,cases/8a137a7f/question_answer.md,51,512,TODO
12,f4f1d8a4,single-session-user,cases/f4f1d8a4/question_answer.md,52,585,TODO
13,36580ce8,single-session-user,cases/36580ce8/question_answer.md,55,545,TODO
14,a82c026e,single-session-user,cases/a82c026e/question_answer.md,47,476,TODO
15,15745da0_abs,single-session-user,cases/15745da0_abs/question_answer.md,50,547,TODO
16,19b5f2b3_abs,single-session-user,cases/19b5f2b3_abs/question_answer.md,50,527,TODO
17,29f2956b_abs,single-session-user,cases/29f2956b_abs/question_answer.md,50,494,TODO
18,0a995998,multi-session,cases/0a995998/question_answer.md,44,484,TODO
19,28dc39ac,multi-session,cases/28dc39ac/question_answer.md,38,431,TODO
20,b3c15d39,multi-session,cases/b3c15d39/question_answer.md,51,502,TODO
21,eeda8a6d,multi-session,cases/eeda8a6d/question_answer.md,49,513,TODO
22,5a7937c8,multi-session,cases/5a7937c8/question_answer.md,42,419,TODO
23,edced276,multi-session,cases/edced276/question_answer.md,46,482,TODO
24,e3038f8c,multi-session,cases/e3038f8c/question_answer.md,45,458,TODO
25,8a2466db,single-session-preference,cases/8a2466db/question_answer.md,50,508,TODO
26,06878be2,single-session-preference,cases/06878be2/question_answer.md,48,443,TODO
27,75832dbd,single-session-preference,cases/75832dbd/question_answer.md,48,474,TODO
28,0edc2aef,single-session-preference,cases/0edc2aef/question_answer.md,46,475,TODO
29,195a1a1b,single-session-preference,cases/195a1a1b/question_answer.md,46,515,TODO
30,afdc33df,single-session-preference,cases/afdc33df/question_answer.md,46,502,TODO
31,caf03d32,single-session-preference,cases/caf03d32/question_answer.md,51,493,TODO
32,06f04340,single-session-preference,cases/06f04340/question_answer.md,55,503,TODO
33,6b7dfb22,single-session-preference,cases/6b7dfb22/question_answer.md,45,471,TODO
34,1a1907b4,single-session-preference,cases/1a1907b4/question_answer.md,48,532,TODO
35,d24813b1,single-session-preference,cases/d24813b1/question_answer.md,44,485,TODO
36,75f70248,single-session-preference,cases/75f70248/question_answer.md,42,466,TODO
37,fca70973,single-session-preference,cases/fca70973/question_answer.md,45,442,TODO
38,b6025781,single-session-preference,cases/b6025781/question_answer.md,47,460,TODO
39,a89d7624,single-session-preference,cases/a89d7624/question_answer.md,49,496,TODO
40,07b6f563,single-session-preference,cases/07b6f563/question_answer.md,52,524,TODO
41,1c0ddc50,single-session-preference,cases/1c0ddc50/question_answer.md,51,548,TODO
42,9aaed6a3,multi-session,cases/9aaed6a3/question_answer.md,51,541,TODO
43,1f2b8d4f,multi-session,cases/1f2b8d4f/question_answer.md,51,522,TODO
